,Age,Gender,BMI,Derived_HRV,Derived_Pulse_Pressure,Derived_MAP,Heart Rate,Respiratory Rate,Body Temperature,Oxygen Saturation,Systolic Blood Pressure,Diastolic Blood Pressure
Age,1.0,-0.0010336093332831767,0.0006712627284871951,-0.0017557496212498526,0.0038969888834057393,0.0016048172628328479,0.004590418413965789,-0.0017005876410354007,0.0019110320130751434,-0.001624940670015405,0.004012004781380437,-0.0010102476624014327
Gender,-0.0010336093332831767,1.0,0.0013937651713099056,-0.0007969784060651147,0.0013920848324658556,-0.003142939477775712,0.0015482837091329112,-0.0011215925694952754,0.0021149629378378037,0.005569508264793659,-0.0006264453741553147,-0.003457844572186356
BMI,0.0006712627284871951,0.0013937651713099056,1.0,0.0037030701809431525,0.0021462880931265105,0.0012463138730284288,0.0029741066230538037,0.0033517721192420475,-0.0018087298470638885,-0.0015638904849729943,0.0024105134495347852,-0.0002543446030389705
Derived_HRV,-0.0017557496212498526,-0.0007969784060651147,0.0037030701809431525,1.0,-0.00264824168842991,0.0016767188791222513,0.000115336124708801,0.0005415753946301593,-0.003741880858163988,-0.0025143881073069127,-0.0011927021830581473,0.002992688503644762
Derived_Pulse_Pressure,0.0038969888834057393,0.0013920848324658556,0.0021462880931265105,-0.00264824168842991,1.0,0.05718121398852869,-0.005266273000453245,-4.064511731359543e-05,0.0016227289935378056,-0.0004812695627849447,0.8329703472895512,-0.5547729735661666
Derived_MAP,0.0016048172628328479,-0.003142939477775712,0.0012463138730284288,0.0016767188791222513,0.05718121398852869,1.0,-0.000290243234713895,-0.0007566017411780457,0.0011977729380340365,0.0006839851448214377,0.6000425569121695,0.7989178712717627
Heart Rate,0.004590418413965789,0.0015482837091329112,0.0029741066230538037,0.000115336124708801,-0.005266273000453245,-0.000290243234713895,1.0,0.0002772893154184123,-0.000500489710785769,0.0011381621733536043,-0.004380614494866521,0.002930660154134029
Respiratory Rate,-0.0017005876410354007,-0.0011215925694952754,0.0033517721192420475,0.0005415753946301593,-4.064511731359543e-05,-0.0007566017411780457,0.0002772893154184123,1.0,0.0034866088266854323,0.0019311394525689091,-0.0004518952632313636,-0.0006060399771953692
Body Temperature,0.0019110320130751434,0.0021149629378378037,-0.0018087298470638885,-0.003741880858163988,0.0016227289935378056,0.0011977729380340365,-0.000500489710785769,0.0034866088266854323,1.0,0.0002087906513078285,0.0019640939018413907,2.0608582193443025e-05
Oxygen Saturation,-0.001624940670015405,0.005569508264793659,-0.0015638904849729943,-0.0025143881073069127,-0.0004812695627849447,0.0006839851448214377,0.0011381621733536043,0.0019311394525689091,0.0002087906513078285,1.0,-6.549965492545978e-06,0.0008599387006679097
Systolic Blood Pressure,0.004012004781380437,-0.0006264453741553147,0.0024105134495347852,-0.0011927021830581473,0.8329703472895512,0.6000425569121695,-0.004380614494866521,-0.0004518952632313636,0.0019640939018413907,-6.549965492545978e-06,1.0,-0.0017481874367233042
Diastolic Blood Pressure,-0.0010102476624014327,-0.003457844572186356,-0.0002543446030389705,0.002992688503644762,-0.5547729735661666,0.7989178712717627,0.002930660154134029,-0.0006060399771953692,2.0608582193443025e-05,0.0008599387006679097,-0.0017481874367233042,1.0
